og_sentence,sentence,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate,target_span
Roy Blunt voted to raise his own pay 12 times while in Congress .,"To raise his own pay 12 times while in Congress, Roy Blunt voted multiple times.","(49, 58)","(0, 20)",,,"(21, 29)","(30, 47)",,,"(59, 64)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"To raise his own pay, Roy Blunt voted 12 times while in Congress.","(22, 31)","(0, 20)",,,"(38, 46)","(47, 64)",,,"(32, 37)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"To raise his own pay, 12 times while in Congress, Roy Blunt voted.","(50, 59)","(0, 20)",,,"(22, 30)","(31, 48)",,,"(60, 65)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"To raise his own pay, while in Congress, Roy Blunt voted 12 times.","(41, 50)","(0, 20)",,,"(57, 65)","(22, 39)",,,"(51, 56)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,12 times Roy Blunt voted to raise his own pay while in Congress.,"(9, 18)","(25, 45)",,,"(0, 8)","(46, 63)",,,"(19, 24)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,12 times Roy Blunt voted while in Congress to raise his own pay.,"(9, 18)","(43, 63)",,,"(0, 8)","(25, 42)",,,"(19, 24)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,12 times Roy Blunt voted to raise his own pay while in Congress.,"(9, 18)","(25, 45)",,,"(0, 8)","(46, 63)",,,"(19, 24)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,12 times Roy Blunt voted to raise his own pay while in Congress.,"(9, 18)","(25, 45)",,,"(0, 8)","(46, 63)",,,"(19, 24)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"12 times while in Congress, Roy Blunt voted to raise his own pay.","(28, 37)","(44, 64)",,,"(0, 8)","(9, 26)",,,"(38, 43)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"12 times while in Congress, to raise his own pay, Roy Blunt voted.","(50, 59)","(28, 48)",,,"(0, 8)","(9, 26)",,,"(60, 65)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"While in Congress, Roy Blunt voted to raise his own pay 12 times.","(19, 28)","(35, 55)",,,"(56, 64)","(0, 17)",,,"(29, 34)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"While in Congress, Roy Blunt voted to raise his own pay 12 times.","(19, 28)","(35, 55)",,,"(56, 64)","(0, 17)",,,"(29, 34)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"While in Congress, Roy Blunt voted 12 times to raise his own pay.","(19, 28)","(44, 64)",,,"(35, 43)","(0, 17)",,,"(29, 34)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"While in Congress, Roy Blunt voted to raise his own pay 12 times.","(19, 28)","(35, 55)",,,"(56, 64)","(0, 17)",,,"(29, 34)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"While in Congress, Roy Blunt voted 12 times to raise his own pay.","(19, 28)","(44, 64)",,,"(35, 43)","(0, 17)",,,"(29, 34)"
"Democrat Stephen Webber voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds , and even voted to allow sex offenders to be coaches .","To allow sex offenders to be within 500 feet of childcare centers and playgrounds, Democrat Stephen Webber voted, and even voted to allow sex offenders to be coaches.","(83, 106)","(0, 81)",,,,,,,"(107, 112)"
"Democrat Stephen Webber voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds , and even voted to allow sex offenders to be coaches .","To allow sex offenders to be coaches, Democrat Stephen Webber voted, permitting them to be within 500 feet of childcare centers and playgrounds.","(38, 61)","(0, 36)",,,,,,,"(62, 67)"
"For the tens of millions of Americans who will lose their health care if the ACA is repealed , I vote no .",I vote no for the tens of millions of Americans who will lose their health care if the ACA is repealed.,"(0, 1)","(83, 90)",,"(7, 9)",,,,,"(2, 6)"
"For the tens of millions of Americans who will lose their health care if the ACA is repealed , I vote no .",I vote no for the tens of millions of Americans who will lose their health care if the ACA is repealed.,"(0, 1)","(83, 90)",,"(7, 9)",,,,,"(2, 6)"
"For the tens of millions of Americans who will lose their health care if the ACA is repealed , I vote no .","I vote no for the ACA, for the tens of millions of Americans who will lose their health care if it is repealed.","(0, 1)","(14, 21)",,"(7, 9)",,,,,"(2, 6)"
"For the tens of millions of Americans who will lose their health care if the ACA is repealed , I vote no .",I vote no for the tens of millions of Americans who will lose their health care if the ACA is repealed.,"(0, 1)","(83, 90)",,"(7, 9)",,,,,"(2, 6)"
"For the tens of millions of Americans who will lose their health care if the ACA is repealed , I vote no .",I vote no for the tens of millions of Americans who will lose their health care if the ACA is repealed.,"(0, 1)","(83, 90)",,"(7, 9)",,,,,"(2, 6)"
Thirteen Democratic senators voted against cheaper medicines and took millions from big pharma since 2011 .,Thirteen Democratic senators took millions from big pharma since 2011 and voted against cheaper medicines.,"(0, 28)","(88, 105)",,"(80, 87)",,,,,"(74, 79)"
Thirteen Democratic senators voted against cheaper medicines and took millions from big pharma since 2011 .,Cheaper medicines were voted against by thirteen Democratic senators and took millions from big pharma since 2011.,"(40, 68)","(0, 17)",,"(29, 36)",,,,,"(23, 28)"
Thirteen Democratic senators voted against cheaper medicines and took millions from big pharma since 2011 .,"Since 2011, cheaper medicines were voted against by Thirteen Democratic senators, who took millions from big pharma.","(52, 80)","(12, 29)",,"(41, 48)",,,,,"(35, 40)"
Thirteen Democratic senators voted against cheaper medicines and took millions from big pharma since 2011 .,"Against cheaper medicines, thirteen Democratic senators voted and took millions from big pharma since 2011.","(27, 55)","(8, 25)",,"(0, 7)",,,,,"(56, 61)"
Thirteen Democratic senators voted against cheaper medicines and took millions from big pharma since 2011 .,"Against cheaper medicines, thirteen Democratic senators voted and took millions from big pharma since 2011.","(27, 55)","(8, 25)",,"(0, 7)",,,,,"(56, 61)"
215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers .,"To let your ISP spy on what type of underwear you buy and sell that data to advertisers, 215 members of Congress just voted.","(89, 112)","(0, 87)",,,,,,,"(118, 123)"
"Judge Neil Gorsuch 's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream , because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously .","He has voted with a majority 99 percent of the time on the 10th U.S. Circuit Court of Appeals, demonstrating that Judge Neil Gorsuch's record falls well within the mainstream and that roughly 97 percent of the cases he has participated in were decided unanimously.","(0, 2)",,"(13, 28)",,,,,"(29, 51)","(7, 12)"
"Judge Neil Gorsuch 's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream , because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously .","With a majority, Judge Neil Gorsuch's record on the 10th U.S. Circuit Court of Appeals falls well within the mainstream because he's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously.","(49, 51)",,"(0, 15)",,,,,"(155, 177)","(133, 138)"
"Judge Neil Gorsuch 's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream , because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously .","With a majority 99 percent of the time, Judge Neil Gorsuch's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream, because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously.","(31, 33)",,"(0, 15)",,,,,"(16, 38)","(159, 164)"
"Judge Neil Gorsuch 's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream , because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously .","99 percent of the time, he has voted with a majority, and roughly 97 percent of the cases he has participated in were decided unanimously, proving that Judge Neil Gorsuch's record on the 10th U.S. Circuit Court of Appeals falls well within the mainstream.","(15, 17)",,"(37, 52)",,,,,"(0, 22)","(31, 36)"
"Judge Neil Gorsuch 's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream , because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously .","99 percent of the time, with a majority, he has voted with a majority on Judge Neil Gorsuch's record on the 10th U.S. Circuit Court of Appeals, because roughly 97 percent of the cases he has participated in were decided unanimously.","(15, 17)",,"(24, 39)",,,,,"(0, 22)","(48, 53)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, for a border wall, they voted.","(28, 32)","(13, 26)",,"(9, 12)",,"(0, 7)",,,"(33, 38)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, they voted for a border wall.","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for a border wall in 2006 .,"In 2006, for a border wall, they voted.","(28, 32)","(13, 26)",,"(9, 12)",,"(0, 7)",,,"(33, 38)"
They voted for a border wall in 2006 .,"In 2006, for a border wall, they voted.","(28, 32)","(13, 26)",,"(9, 12)",,"(0, 7)",,,"(33, 38)"
Then-Senator Obama voted for it .,Then-Senator Obama voted for it.,"(0, 18)","(29, 31)",,"(25, 28)",,,,,"(19, 24)"
Then-Senator Obama voted for it .,It was voted for by then-Senator Obama.,"(20, 38)","(0, 2)",,"(13, 16)",,,,,"(7, 12)"
Then-Senator Obama voted for it .,"""It for Then-Senator Obama voted.""","(8, 26)","(1, 3)",,"(4, 7)",,,,,"(27, 32)"
Then-Senator Obama voted for it .,"For then-Senator Obama, it voted.","(4, 22)","(24, 26)",,"(0, 3)",,,,,"(27, 32)"
Then-Senator Obama voted for it .,"For it, Then-Senator Obama voted.","(8, 26)","(4, 6)",,"(0, 3)",,,,,"(27, 32)"
Sen. Schumer voted for it .,Sen. Schumer for it voted.,"(0, 12)","(17, 19)",,"(13, 16)",,,,,"(20, 25)"
Sen. Schumer voted for it .,It was voted for by Sen. Schumer.,"(20, 32)","(0, 2)",,"(13, 16)",,,,,"(7, 12)"
Sen. Schumer voted for it .,It was voted for by Sen. Schumer.,"(20, 32)","(0, 2)",,"(13, 16)",,,,,"(7, 12)"
Sen. Schumer voted for it .,"For it, Sen. Schumer voted.","(8, 20)","(4, 6)",,"(0, 3)",,,,,"(21, 26)"
Sen. Schumer voted for it .,"For it, Sen. Schumer voted.","(8, 20)","(4, 6)",,"(0, 3)",,,,,"(21, 26)"
Sen. Clinton voted for it .,Sen. Clinton voted for it.,"(0, 12)","(23, 25)",,"(19, 22)",,,,,"(13, 18)"
Sen. Clinton voted for it .,"It, Sen. Clinton, voted for.","(4, 16)","(0, 2)",,"(24, 27)",,,,,"(18, 23)"
Sen. Clinton voted for it .,It was voted for by Sen. Clinton.,"(20, 32)","(0, 2)",,"(13, 16)",,,,,"(7, 12)"
Sen. Clinton voted for it .,"For it, Sen. Clinton voted.","(8, 20)","(4, 6)",,"(0, 3)",,,,,"(21, 26)"
Sen. Clinton voted for it .,"For it, Sen. Clinton voted.","(8, 20)","(4, 6)",,"(0, 3)",,,,,"(21, 26)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
They voted for it in 2006 .,"In 2006, for it, they voted.","(17, 21)","(13, 15)",,"(9, 12)",,"(0, 7)",,,"(22, 27)"
They voted for it in 2006 .,"In 2006, they voted for it.","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,,"(14, 19)"
U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50 .,"U.S. Rep. Carlos Curbelo, a health care bill that will let insurance companies charge five times more for people over 50, voted for.","(0, 24)","(26, 120)",,"(102, 105)",,,,,"(122, 127)"
U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50 .,A health care bill that will let insurance companies charge five times more for people over 50 was voted for by U.S. Rep. Carlos Curbelo.,"(112, 136)","(0, 94)",,"(76, 79)",,,,,"(99, 104)"
U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50 .,A health care bill that will let insurance companies charge five times more for people over 50 was voted for by U.S. Rep. Carlos Curbelo.,"(112, 136)","(0, 94)",,"(76, 79)",,,,,"(99, 104)"
U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50 .,"For a health care bill that will let insurance companies charge five times more for people over 50, U.S. Rep. Carlos Curbelo voted.","(100, 124)","(4, 98)",,"(0, 3)",,,,,"(125, 130)"
U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50 .,Voted for a health care bill that will let insurance companies charge five times more for people over 50 U.S. Rep. Carlos Curbelo.,"(105, 129)","(10, 104)",,"(6, 9)",,,,,"(0, 5)"
He has in the past Sen. Nelson votes with Warren 90 percent of the time .,Sen. Nelson has voted with Warren 90 percent of the time in the past.,"(0, 11)",,"(22, 33)",,,,,"(34, 56)","(16, 21)"
He has in the past Sen. Nelson votes with Warren 90 percent of the time .,"With Warren, Sen. Nelson has in the past voted with 90 percent of the time.","(13, 24)",,"(0, 11)",,,,,"(52, 74)","(41, 46)"
He has in the past Sen. Nelson votes with Warren 90 percent of the time .,"With Warren, Sen. Nelson votes 90 percent of the time.","(13, 24)",,"(0, 11)",,,,,"(31, 53)","(25, 30)"
He has in the past Sen. Nelson votes with Warren 90 percent of the time .,"90 percent of the time, Sen. Nelson votes with Warren in the past.","(24, 35)",,"(42, 53)",,,,,"(0, 22)","(36, 41)"
He has in the past Sen. Nelson votes with Warren 90 percent of the time .,"90 percent of the time, with Warren, Sen. Nelson votes with Warren.","(37, 48)",,"(24, 35)",,,,,"(0, 22)","(49, 54)"
"Just to give you an idea of how far away America is from actual gun control , this week Congress is going to vote on deregulating gun silencers .","Congress is going to vote on deregulating gun silencers this week, just to give you an idea of how far away America is from actual gun control.","(0, 8)","(26, 55)",,,,"(56, 65)",,,"(21, 25)"
"Just to give you an idea of how far away America is from actual gun control , this week Congress is going to vote on deregulating gun silencers .","Congress is going to vote on deregulating gun silencers this week, just to give you an idea of how far away America is from actual gun control.","(0, 8)","(26, 55)",,,,"(56, 65)",,,"(21, 25)"
"Just to give you an idea of how far away America is from actual gun control , this week Congress is going to vote on deregulating gun silencers .","On deregulating gun silencers, Congress is going to vote this week, just to give you an idea of how far away America is from actual gun control.","(31, 39)","(0, 29)",,,,"(57, 66)",,,"(52, 56)"
"Just to give you an idea of how far away America is from actual gun control , this week Congress is going to vote on deregulating gun silencers .","On deregulating gun silencers, Congress is going to vote this week, just to give you an idea of how far away America is from actual gun control.","(31, 39)","(0, 29)",,,,"(57, 66)",,,"(52, 56)"
"Just to give you an idea of how far away America is from actual gun control , this week Congress is going to vote on deregulating gun silencers .","This week, Congress is going to vote on deregulating gun silencers, just to give you an idea of how far away America is from actual gun control.","(11, 19)","(37, 66)",,,,"(0, 9)",,,"(32, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,School vouchers were voted for by Stacey Evans in the beginning.,"(34, 46)","(0, 15)",,"(27, 30)",,"(47, 63)",,,"(21, 26)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, school vouchers were voted for by Stacey Evans.","(52, 64)","(18, 33)",,"(45, 48)",,"(0, 16)",,,"(39, 44)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, school vouchers were voted for by Stacey Evans.","(52, 64)","(18, 33)",,"(45, 48)",,"(0, 16)",,,"(39, 44)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, school vouchers were voted for by Stacey Evans.","(52, 64)","(18, 33)",,"(45, 48)",,"(0, 16)",,,"(39, 44)"
Stacey Evans voted for school vouchers in the beginning .,School vouchers were voted for in the beginning by Stacey Evans.,"(51, 63)","(0, 15)",,"(27, 30)",,"(31, 47)",,,"(21, 26)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, for school vouchers, Stacey Evans voted.","(39, 51)","(22, 37)",,"(18, 21)",,"(0, 16)",,,"(52, 57)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, Stacey Evans voted for school vouchers.","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,,"(31, 36)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, school vouchers were voted for by Stacey Evans.","(52, 64)","(18, 33)",,"(45, 48)",,"(0, 16)",,,"(39, 44)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, school vouchers were voted for by Stacey Evans.","(52, 64)","(18, 33)",,"(45, 48)",,"(0, 16)",,,"(39, 44)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, for school vouchers, Stacey Evans voted.","(39, 51)","(22, 37)",,"(18, 21)",,"(0, 16)",,,"(52, 57)"
Stacey Evans voted for school vouchers in the beginning .,"In the beginning, for school vouchers, Stacey Evans voted.","(39, 51)","(22, 37)",,"(18, 21)",,"(0, 16)",,,"(52, 57)"
Yet the @ HouseGOP just voted to do exactly that .,"To do exactly that, the @ HouseGOP just voted.","(20, 34)","(0, 18)",,,,,,,"(40, 45)"
Democratic lawmakers who voted in favor of short-term spending bills just voted to deport Dreamers .,Democratic lawmakers who voted to deport Dreamers just voted in favor of short-term spending bills.,"(0, 20)","(73, 98)",,"(61, 72)",,,,,"(25, 30)"
Democratic lawmakers who voted in favor of short-term spending bills just voted to deport Dreamers .,Short-term spending bills that Democratic lawmakers voted in favor of just voted to deport Dreamers.,"(31, 51)","(0, 25)",,"(58, 69)",,,,,"(52, 57)"
Democratic lawmakers who voted in favor of short-term spending bills just voted to deport Dreamers .,"In favor of short-term spending bills, Democratic lawmakers just voted to deport Dreamers.","(39, 59)","(12, 37)",,"(0, 11)",,,,,"(65, 70)"
Democratic lawmakers who voted in favor of short-term spending bills just voted to deport Dreamers .,"In favor of short-term spending bills, Democratic lawmakers just voted to deport Dreamers.","(39, 59)","(12, 37)",,"(0, 11)",,,,,"(65, 70)"
Democratic lawmakers who voted in favor of short-term spending bills just voted to deport Dreamers .,"To deport Dreamers, Democratic lawmakers who voted in favor of short-term spending bills just voted.","(20, 40)","(0, 18)",,,,,,,"(45, 50)"
Heitkamp has voted against Trump 68 percent of time .,Heitkamp has voted 68 percent of time against Trump.,"(0, 8)",,"(46, 51)","(38, 45)",,,,"(19, 37)","(13, 18)"
Heitkamp has voted against Trump 68 percent of time .,Heitkamp has voted 68 percent of time against Trump.,"(0, 8)",,"(46, 51)","(38, 45)",,,,"(19, 37)","(13, 18)"
Heitkamp has voted against Trump 68 percent of time .,Trump has been voted against by Heitkamp 68 percent of time.,"(32, 40)",,"(0, 5)","(21, 28)",,,,"(41, 59)","(15, 20)"
Heitkamp has voted against Trump 68 percent of time .,Trump has been voted against by Heitkamp 68 percent of time.,"(32, 40)",,"(0, 5)","(21, 28)",,,,"(41, 59)","(15, 20)"
Heitkamp has voted against Trump 68 percent of time .,Trump has been voted against by Heitkamp 68 percent of time.,"(32, 40)",,"(0, 5)","(21, 28)",,,,"(41, 59)","(15, 20)"
Heitkamp has voted against Trump 68 percent of time .,"Against Trump, Heitkamp has voted 68 percent of time.","(15, 23)",,"(8, 13)","(0, 7)",,,,"(34, 52)","(28, 33)"
Heitkamp has voted against Trump 68 percent of time .,"Against Trump 68 percent of time, Heitkamp has voted.","(34, 42)",,"(8, 13)","(0, 7)",,,,"(14, 32)","(47, 52)"
Heitkamp has voted against Trump 68 percent of time .,"68 percent of time, Trump has been voted against by Heitkamp.","(52, 60)",,"(20, 25)","(41, 48)",,,,"(0, 18)","(35, 40)"
Heitkamp has voted against Trump 68 percent of time .,"68 percent of time, Heitkamp has voted against Trump.","(20, 28)",,"(47, 52)","(39, 46)",,,,"(0, 18)","(33, 38)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,U.S. Sen. Chuck Schumer voted for the wall in 2005 or 2006.,"(0, 23)","(34, 42)",,"(30, 33)",,"(43, 58)",,,"(24, 29)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,U.S. Sen. Chuck Schumer voted for the wall in 2005 or 2006.,"(0, 23)","(34, 42)",,"(30, 33)",,"(43, 58)",,,"(24, 29)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,U.S. Sen. Chuck Schumer voted for the wall in 2005 or 2006.,"(0, 23)","(34, 42)",,"(30, 33)",,"(43, 58)",,,"(24, 29)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,U.S. Sen. Chuck Schumer voted for the wall in 2005 or 2006.,"(0, 23)","(34, 42)",,"(30, 33)",,"(43, 58)",,,"(24, 29)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,U.S. Sen. Chuck Schumer voted for the wall in 2005 or 2006.,"(0, 23)","(34, 42)",,"(30, 33)",,"(43, 58)",,,"(24, 29)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,U.S. Sen. Chuck Schumer voted for the wall in 2005 or 2006.,"(0, 23)","(34, 42)",,"(30, 33)",,"(43, 58)",,,"(24, 29)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,The wall was voted for by U.S. Sen. Chuck Schumer in 2005 or 2006.,"(26, 49)","(0, 8)",,"(19, 22)",,"(50, 65)",,,"(13, 18)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,The wall was voted for by U.S. Sen. Chuck Schumer in 2005 or 2006.,"(26, 49)","(0, 8)",,"(19, 22)",,"(50, 65)",,,"(13, 18)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,The wall was voted for by U.S. Sen. Chuck Schumer in 2005 or 2006.,"(26, 49)","(0, 8)",,"(19, 22)",,"(50, 65)",,,"(13, 18)"
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall .,The wall was voted for by U.S. Sen. Chuck Schumer in 2005 or 2006.,"(26, 49)","(0, 8)",,"(19, 22)",,"(50, 65)",,,"(13, 18)"
